id,name,final
5019,"Blood Shock",1
5030,"Cliffsword Titanius",1
5093,"Rathflame Glinsword",1
5121,"Garuga Engetsu",1
5125,"Avidya Great Sword",1
5131,"Plesioth Pelagis",1
5134,"Xiphias Gladius",1
5137,"Emperor Thundersword",1
5141,"Grand Pincer",1
5145,"Vulca Vendetta",1
5149,"Doomedge "Hrunting"",1
5153,"Rogue Sedition",1
5158,"Dreaming Dalamadur",1
5161,"King Frostsword",1
5163,"Akantor Broadsword+",1
5165,"Ukanlos Skycleaver",1
5167,"Black Fatalis Blade",1
5168,"Düster/Éclat",1
5169,"Grand Shamshir",1
5170,"Eldaora's Death",2
5172,"Ostracon Oblivion",1
5173,"Flame Fatalis Blade",1
5174,"Fatalis Legacy",1
5182,"Daora's Deathmaker",1
5190,"Teostra del Sol",1
5192,"テンマノツルギ",1
5194,"天地・轟断剣",1
5196,"キャプテンＪバスター",1
5197,"仁剣【侠客立ち】",1
5198,"Universal Chrome",1
5199,"Black Belt Blade",1
5200,"G Blade",1
5201,"Commemoration Sword",1
5202,"アモンの剣",1
5226,"Weiss Crescent",1
5295,"Vilcurviscera+",1
5313,"Dark Matter",1
5317,"Premium Hairblade",1
5321,"Onamuchi",1
5325,"Euros",1
5329,"Doomblade "Slave"",1
5332,"Kibamaru",1
5336,"Zealous Sedition",1
5341,"Clouded Dalamadur",1
5344,"Dragonwood Cutblade",1
5346,"Akantor Strongsword",1
5348,"Ukanlos Skydicer",1
5350,"Fatalis Zaggespanon",1
5352,"Thunderclap+",1
5353,"Chaos/Loi",1
5355,"Susano Blade",1
5356,"Phantom Mirage",1
5357,"Eldaora's Raid",1
5359,"Headsman's Requite",1
5360,"Fatalis Fotia",1
5361,"Fatalis Ascencia",1
5371,"Imperial Shimmer",1
5373,"鉄砕牙Ｄ",1
5375,"Eternal Gate",1
5377,"速報隊専用剣【空狐】",1
5379,"EX Susano-o",1
5380,"覇王剣",1
5381,"Wing of Judgment",1
5382,"Chainslaughter",1
5383,"Fan Club Bamboo Rod",1
5439,"Coctura Balgang",1
5499,"Mortal Heart",1
5505,"Master Odyssey",1
5509,"Melynx Tool",1
5514,"Plesiperse Spike+",1
5517,"Kirin Bolt Maximus",1
5521,"Yaegaki",1
5525,"Chalcomatia",1
5534,"Cursed Rajang Club",1
5537,"Serevento",1
5541,"Panja Sedition",1
5546,"Bescaled Dalamadur",1
5548,"Icemaster Kirin",1
5550,"Ukanlos Skyhatchet",1
5552,"True Fatalis Sword",1
5554,"True Ruiner Sword",1
5555,"Lügen/Vérité",1
5556,"Eldaora's Sturm",1
5558,"Kyrie Ruin",1
5559,"W. Fatalis Sword",1
5567,"Daora's Maelstrom",1
5574,"Teostra's Emblem",1
5576,"Master's Blade",1
5577,"雷剣コロドライト",1
5579,"EX Ame-no-habakiri",1
5582,"Master Sword G",1
5583,"Black Belt Sword",1
5584,"Ms. M.H. Puppet",1
5585,"イナズマワークス",1
5586,"Star Knight Sword",1
5587,"刃折れの剣",1
5637,"Psammophages",1
5682,"Stygian Superbia",1
5704,"Jade Battlefanzers",1
5707,"Savortooths",1
5710,"Felyne and Melynx++",1
5714,"Dual Dragons "Angst"",1
5717,"Wunderkirins",1
5721,"Doomfang "Envoys"",1
5725,"Megiddo Breakers",1
5729,"Serre Sedition",1
5733,"Agnaktor Inferno",1
5738,"Amber Dalamadur",1
5740,"Ritual Eidolons",1
5742,"Akantor Shadow Claws",1
5744,"Ukanlos Skyrippers",1
5747,"Twinbane Twilight",1
5750,"Sinistrus Dextraos",1
5751,"Inferno/Paradis",1
5753,"Suzuka Otakemaru",1
5754,"Twin Elders",1
5756,"Eternal Leavetakers",1
5757,"Ultimus Apocalypse",1
5765,"Blizzard and Blaze",1
5767,"大海賊Ｊエッジ",1
5768,"紅蓮爆炎刃",1
5769,"ギガントピストル",1
5772,"Chum-Chum Scarecrows",1
5773,"範馬刃牙流格闘術",1
5774,"Fan Club Fans",1
5801,"Bleeding Bludgeon",1
5896,"Meteorgalore",1
5909,"Armored Gigagogue",1
5915,"Gold Cat Crusher",1
5919,"Nadeshiko",1
5923,"Gaia Horizon",1
5927,"Doomhammer "Blood"",1
5931,"Qadar Sedition",1
5936,"Agonized Dalamadur",1
5938,"Ukanlos Skysmasher",1
5940,"Fatalis Demolisher",1
5941,"Vergehen/Naissance",1
5942,"Genie's Expanse",1
5943,"Eldaora's Colossus",1
5945,"Desmos Admonition",1
5946,"Fatalis Iregard",1
5947,"Fatalis Ruiner",1
5955,"Teostra del Torre",1
5962,"Daora's Hyperborea",1
5964,"Swinging Scarluq",1
5965,"Pride of Harth",1
5967,"ギガサンダーワークス",1
5969,"鬼ノ現身",1
5970,"Black Belt Hammer",1
5971,"Portsmark",1
5972,"Teddybear",1
5974,"Ham of Hams",1
5996,"Lunar Chordmaker",1
6053,"Naja Alluvion",1
6076,"Aria Rhota",1
6081,"Klick-Klack",1
6085,"Maqam Sedition",1
6090,"Bloodied Dalamadur",1
6092,"Dragonwood Godflute",1
6094,"Akantor Dark Melody",1
6096,"Ukanlos Skysinger",1
6098,"Fatalis Menace Lute",1
6099,"Grimm/Joie",1
6101,"Denden Doomsounder",1
6102,"Genie's Ocarina",1
6103,"Eldaora's Taus",1
6105,"Onyx Terpsichore",1
6106,"Fatalis Menace Soul",1
6107,"Fatalis Ancient Lute",1
6116,"Daora's Baphophone",1
6117,"銀の匙",1
6118,"ブリッツワークス",1
6119,"Megaphone",1
6120,"Handmade Frog",1
6122,"Queen's Flute",1
6123,"Hunter Master",1
6143,"Le Paladin",1
6198,"Shuraba Lance",1
6228,"Garuga Incessance",1
6231,"Sharq Assawlt",1
6237,"Esmeralda's Tide",1
6240,"Naar Thunderlance",1
6244,"Giant Hermitaur Lance",1
6248,"Aidion Crown",1
6251,"Nero's Atrocity",1
6257,"White Catastrophe",1
6261,"Hadad Sedition",1
6266,"Generous Dalamadur",1
6268,"Ukanlos Skysweeper",1
6270,"True Fatalis Lance",1
6272,"True Ruiner Lance",1
6274,"Sabertooth",1
6275,"Luzifer/Sage",1
6276,"Eldaora's Fang",1
6278,"Aether Geghard",1
6279,"W. Fatalis Lance",1
6287,"Daora's Regulus",1
6295,"Teostra's Fire",1
6297,"特捜隊専用槍【百狐】",1
6332,"Blood Thunder",1
6405,"Nux Cannon",1
6410,"Hypnos",1
6413,"Felicitous Felyoshka",1
6419,"Sea Abyss",1
6423,"Amatsuhiko",1
6427,"Doomlance "Greed"",1
6431,"Violet Buster",1
6433,"Mighty Cornpopper",1
6437,"Tamarod Sedition",1
6442,"Unchained Dalamadur",1
6444,"Akantor Cannonlance",1
6446,"Ukanlos Cannonlance",1
6448,"True Fatalis Gunlance",1
6452,"Seltas Fortitude",1
6453,"Mauer/Guerre",1
6454,"Venomous Perfume",1
6455,"Eldaora's Brigia",1
6457,"Auguring Prophet",1
6458,"Hellruin Gunlance",1
6459,"W. Fatalis Gunlance",1
6470,"Daora's Tempest",1
6473,"プラチナクラウン",1
6476,"Bamboo Dragonsbane",1
6477,"ボルティックワークス",1
6503,"Azure Straybloom",1
6517,"Stygian Vanagloria",1
6526,"Notched Diavolo",1
6538,"Chief Bruiser Axe",1
6555,"Axe of Gaia",1
6576,"Illuyanka",1
6578,"Grimmig Katze",1
6582,"Yamatsumi",1
6586,"Archbeast Kirin",1
6590,"Helios Crusher",1
6594,"Doomaxe "Downpour"",1
6598,"Baraq Sedition",1
6603,"Praying Dalamadur",1
6605,"Bitterbeast Kirin",1
6607,"Akantor Divider",1
6609,"Ceadeed Axe",1
6611,"True Fatalis's End",1
6613,"True Ruiner's Bane",1
6614,"Frevel/Sursis",1
6615,"Eldaora's Farasa",1
6617,"Wicked Conqueror",1
6618,"Fatalis Force",1
6627,"Daora's Janah",1
6629,"大海賊Ｊアックス",1
6631,"特報隊専用斧【仙狐】",1
6633,"EX Izanagi",1
6671,"Desert Rose",1
6677,"Le Salut",1
6681,"Watatsumi",1
6685,"Lightbreak C. Blade",1
6692,"Chernobog's Scythe",1
6697,"Maximinsect",1
6701,"Garuda Sedition",1
6704,"Ceadeus Regalia",1
6706,"Daora's Thwartoise",1
6708,"Teostra's Nova",1
6713,"Patient Dalamadur",1
6715,"Akantor Severance",1
6717,"True Fatalis Charger",1
6719,"True Ruiner Reaver",1
6721,"Cera Cediment",1
6722,"Elends/Essor",1
6724,"Demonlord Supersurge",1
6725,"Eldaora Casca",1
6727,"Promised Nadir",1
6728,"Fatalis Mien",1
6730,"Grandstar Axe",1
6732,"伝説Ｊレガシー",1
6733,"チャージフォックス",1
6740,"Highest of Glaives",1
6746,"Reaper's Stroke",1
6752,"Le Miracle",1
6758,"Emperor Boltbrute",1
